PUBCHEM_CID	DISTINCT_EXP_COUNT	EIDS
266054	1	3731
266468	1	3897
266802	1	7672
267019	1	967
267294	1	3896
268038	1	3897
268717	1	3897
269862	1	3731
271640	1	3393
271951	1	967
272358	1	3897
272502	1	3704
272582	1	7634
273487	1	3897
273769	1	3445
274127	1	3408
274598	1	967
275448	1	967
276258	1	967
276278	1	7738
278573	1	3731
278679	1	3731
279062	1	3896
279160	1	7538
279291	1	7634
279843	1	3897
279869	1	3897
279883	1	3897
279959	1	3897
280491	1	3408
280923	1	3897
284927	1	3731
285054	1	3452
285167	1	3897
285470	1	967
285758	1	967
286497	1	3897
286873	1	7690
287145	1	4348
288825	1	7738
289037	1	3897
289159	1	3897
290223	1	3731
290471	1	3897
290486	1	7672
290787	1	3897
291053	1	3897
291072	1	3897
291537	1	7738
292612	1	3897
292804	1	3897
292807	1	3897
292811	1	3897
292843	1	4188
292956	1	7738
293807	1	3897
293815	1	3897
294758	1	3704
295253	1	3897
295256	1	3897
295260	1	3897
295292	1	3897
295298	1	3897
295326	1	3897
295591	1	3739
295991	1	3897
300631	1	3731
300949	1	3897
302780	1	3897
303194	1	7634
303233	1	967
303365	1	3897
303390	1	3897
303515	1	3897
304457	1	2957
304907	1	3941
306458	1	3897
306529	1	3897
306544	1	854
306548	1	854
306674	1	3897
306691	1	3897
306836	1	3897
307341	1	3452
307350	1	3897
307406	1	7672
307686	1	2467
307712	1	3897
308065	1	3897
308644	1	705
309188	1	3897
310267	1	3731
310497	1	967
310521	1	3731
310538	1	3897
310541	1	3897
310561	1	3897
310683	1	3897
312154	1	3408
312385	1	3897
313134	1	3731
315017	1	3393
315109	1	3897
315155	1	3897
317124	1	967
321194	1	3897
322372	1	3731
322539	1	7672
322942	1	3897
323282	1	3897
323717	1	3897
324229	1	7672
324450	1	3731
324932	1	2957
325090	1	3990
325657	1	3897
326670	1	3734
328621	1	3897
328773	1	7634
329038	1	7744
329202	1	3897
330267	1	4348
330452	1	705
330740	1	7743
330820	1	3734
331715	1	3897
331787	1	3897
332429	1	7685
332430	1	3897
332442	1	3393
332456	1	3393
332780	1	3897
332978	1	3897
334415	1	3897
335175	1	3897
337612	1	967
338050	1	705
339237	1	3897
339661	1	3897
339733	1	3897
340946	1	3897
341154	1	3897
341156	1	3897
341868	1	3897
342017	1	854
342451	1	3897
342533	1	3897
342561	1	3739
342620	1	3897
342632	1	4166
343283	1	3731
343660	1	4166
344075	1	3897
345104	1	3896
346489	1	3897
346902	1	3897
346945	1	3897
347766	1	7587
348206	1	3896
348641	1	3897
348695	1	3897
348698	1	7741
350141	1	7537
350421	1	3897
350703	1	2824
351332	1	854
354261	1	3897
354665	1	4166
356316	1	3897
358849	1	705
360218	1	7685
360322	1	3897
360443	1	967
364225	1	3897
364494	1	3393
365388	1	3897
366855	1	705
366976	1	3897
367851	1	7634
368861	1	854
368865	1	2467
368866	1	2467
369617	1	2957
373718	1	3704
376106	1	3452
378227	1	3452
379077	1	3731
379337	1	7741
379422	1	3731
380674	1	3897
384024	1	3897
384942	1	3897
386705	1	3897
387402	1	3408
387514	1	3897
388029	1	7634
389221	1	3897
389249	1	3452
389490	1	3393
389549	1	3452
393333	1	3897
393335	1	3897
394278	1	3897
394580	1	3897
394839	1	3897
394845	1	7722
395945	1	3897
397073	1	3452
397115	1	3452
398297	1	7741
398315	1	3941
398323	1	7741
399109	1	3897
399616	1	2824
399618	1	2824
401582	1	3897
403912	1	3897
404502	1	3704
404537	1	3897
405767	1	854
406670	1	3897
408190	1	3897
409301	1	3408
409927	1	3897
416770	1	3897
419818	1	3897
419920	1	3408
421105	1	7663
425241	1	3408
426756	1	2467
426874	1	3731
429575	1	7634
436058	1	967
436059	1	967
436064	1	967
439280	1	3731
439525	1	7665
440226	1	2467
441207	1	7741
443758	1	3408
444034	1	3734
444732	1	4310
445154	1	3731,3731,3731
445354	1	854
445580	1	3731
448041	1	3731
448055	1	3428
453241	1	7744
456201	1	2098
458162	1	2467
458553	1	3897
460659	1	3704
461168	1	3408
462454	1	3897
464901	1	7749
468656	1	3408
476810	1	7743
478245	1	7738
480785	1	7743
480873	1	967
481483	1	3897
483833	1	3393
483894	1	3731
484118	1	3897
493570	1	3397
493591	1	2098
496073	1	2467
496348	1	3731,3731
511501	1	4348
517348	1	3731
519224	1	3452
520243	1	3897
521233	1	705
521303	1	4348
522325	1	3408,3408
531807	1	3897
531865	1	3897
531895	1	3897
